smiles,Standardized_SMILES
CCOC(=O)CCC1=CC=C(C2=CC=C(OC)C=C2)N1C1=CC=C(C(C)=O)C=C1,CCOC(=O)CCc1ccc(-c2ccc(OC)cc2)n1-c1ccc(C(C)=O)cc1
C[C@@]12CC3=CC=CC=C3CCC(CC3=CC=C(O)C=C13)C2N,C[C@@]12Cc3ccccc3CCC(Cc3ccc(O)cc31)C2N
CC1=CC=CN2C(=O)C3=C(SC(C(=O)NCC(C)C)=C3)N=C12,Cc1cccn2c(=O)c3cc(C(=O)NCC(C)C)sc3nc12
CC1=CC=C(C(=O)NC2=CC([N+](=O)[O-])=CC=C2F)S1,Cc1ccc(C(=O)Nc2cc([N+](=O)[O-])ccc2F)s1
N#CC1=CC=CC=C1C1=CC=C(CN2C(C3=CSC=N3)=NC3=CC=C(Cl)C=C23)C=C1,N#Cc1ccccc1-c1ccc(Cn2c(-c3cscn3)nc3ccc(Cl)cc32)cc1
CCOC1=CC=C(C(=O)N/N=C/C2=CC([N+](=O)[O-])=CS2)C=C1,CCOc1ccc(C(=O)N/N=C/c2cc([N+](=O)[O-])cs2)cc1
OC(COC1C2CC3CC(C2)CC1C3)CN1CCOCC1,OC(COC1C2CC3CC(C2)CC1C3)CN1CCOCC1
CCOC1=CC=C2C(=NN=CC3=CC=CC(OC)=C3)C=C(C)NC2=C1,CCOc1ccc2c(NN=Cc3cccc(OC)c3)cc(C)nc2c1
C1=CC=C(P(=C2C3=CC=CC=C3C3=CC=CC=C23)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,c1ccc(P(=C2c3ccccc3-c3ccccc32)(c2ccccc2)c2ccccc2)cc1
CN(C(=O)CCN1CCC(OC(=O)NC2=CC=CC=C2C2=CC=CC=C2)CC1)C1=CC=C(CC(=O)NCC2=CC=C(CCNC[C@H](O)C3=CC=C(O)C4=C3C=CC(=O)N4)C=C2)C=C1,CN(C(=O)CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)c1ccc(CC(=O)NCc2ccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)ccc34)cc2)cc1
